NAME	INPUT	SPIKE	AB	USER	GENOME	RUN	IS_INPUT	INPUT_SPIKE	DOWNSAMPLE_GROUP
E14-input	E14-input	FALSE	X	econway	mm10	190607	TRUE	E14-input	5
WT-E14-H2AK119Ub	E14-input	TRUE	X	econway	mm10	190510	FALSE	E14-input-S2	1
Bap1KOcA9-E14-H2AK119Ub	E14-input	TRUE	X	econway	mm10	190510	FALSE	Bap1KOcA9-E14-S2	1
Bap1KOcB7-E14-H2AK119Ub	E14-input	TRUE	X	econway	mm10	190510	FALSE	Bap1KOcB7-E14-S2	1
WT-E14-Ring1b	E14-input	FALSE	X	econway	mm10	190510	FALSE	NoSpike	2
Bap1KOcA9-E14-Ring1b	E14-input	FALSE	X	econway	mm10	190510	FALSE	NoSpike	2
Bap1KOcB7-E14-Ring1b	E14-input	FALSE	X	econway	mm10	190510	FALSE	NoSpike	2
E14-input-S2	E14-input	TRUE	X	econway	mm10	190607	TRUE	E14-input-S2	FALSE
Bap1KOcB7-E14-S2	E14-input	TRUE	X	econway	mm10	190607	TRUE	Bap1KOcB7-E14-S2	FALSE
Bap1KOcA9-E14-S2	E14-input	TRUE	X	econway	mm10	190607	TRUE	Bap1KOcA9-E14-S2	FALSE